PlayerID,Name,Age,Team,Nacionalidad,Position,PreferredFoot,Matches,Minutes,Goals,Assists,Shots,Passes,PassAccuracy,Tackles,Interceptions,Dribbles,Fouls,YellowCards,RedCards,ValueMercado,Wages,Height,Weight,SprintSpeed,Stamina,OverallRating,Potential,Recomendado_para_Scouting,stat_1,stat_2,stat_3,stat_4,stat_5,stat_6,stat_7,stat_8,stat_9,stat_10,stat_11,stat_12,stat_13,stat_14,stat_15,stat_16,stat_17,stat_18,stat_19,stat_20,stat_21,stat_22,stat_23,stat_24,stat_25,stat_26,stat_27,stat_28,stat_29,stat_30,stat_31,stat_32,stat_33,stat_34,stat_35,stat_36,stat_37,stat_38,stat_39,stat_40,stat_41,stat_42,stat_43,stat_44,stat_45,stat_46,stat_47,stat_48,stat_49,stat_50,stat_51,stat_52,stat_53,stat_54,stat_55,stat_56,stat_57,stat_58,stat_59,stat_60,stat_61,stat_62,stat_63,stat_64,stat_65,stat_66,stat_67,stat_68,stat_69,stat_70,stat_71
P100000,Player_0001,26,Universidad A,Chile,MID,Derecho,23,1794,1.0,1.0,24,958,79.86476191247795,22,10,12,9,0,0,453.0,8.713796120273342,183.45434844160502,66.19121794920133,79.04182555117629,75.73118914729419,64,65,No,32.62,31.02,66.38,91.67,67.9,53.28,63.23,34.86,26.25,61.61,41.93,29.8,36.79,33.04,52.02,58.73,63.32,63.41,61.32,46.89,40.65,27.38,66.49,47.33,43.84,67.7,36.53,62.52,54.45,34.43,48.86,64.59,61.93,72.43,55.07,100.58,36.19,44.02,49.09,28.72,65.64,63.55,50.29,41.98,27.57,38.16,61.16,46.82,43.6,57.52,67.37,53.86,54.72,70.58,52.63,45.36,60.1,46.15,44.48,69.11,45.62,10.17,55.18,44.07,45.66,56.79,47.51,53.22,19.67,35.85,71.06
P100001,Player_0002,24,City Club,Brasil,GK,Derecho,17,1292,0.0,2.0,18,497,80.70418127100113,19,11,13,11,1,0,2906.0,69.58893436279062,180.996089886926,60.0,73.85583311202315,81.26456358620322,61,70,No,60.16,62.2,31.54,53.41,69.61,25.89,52.77,53.9,61.73,31.45,30.19,57.83,54.45,53.76,55.2,39.8,53.48,54.4,39.28,77.99,57.11,32.13,59.85,35.38,61.81,67.38,37.69,64.45,56.19,62.33,78.45,46.32,38.69,36.66,37.76,48.84,55.12,54.15,62.41,50.2,71.8,46.03,90.8,59.39,37.14,33.94,57.24,46.65,60.71,57.1,48.91,37.3,27.28,43.3,62.85,53.21,31.31,52.6,55.78,36.74,52.31,50.87,32.86,55.37,58.41,66.25,65.81,29.33,35.93,57.73,57.71
P100002,Player_0003,27,Independiente,Colombia,GK,Derecho,24,1800,0.0,1.0,21,2155,68.39894609815869,16,8,13,8,3,0,1341.0,15.612861599428857,168.84459990231437,60.0,63.1396089147112,80.40005376622429,82,82,No,39.84,44.99,45.23,54.77,25.82,64.18,69.0,55.66,74.77,30.1,77.66,39.04,30.8,46.44,78.08,49.71,36.01,30.58,48.42,20.08,30.5,73.15,69.85,48.07,43.02,50.88,85.22,56.07,63.65,46.96,50.91,59.71,51.89,21.54,69.21,40.77,81.67,60.3,51.06,56.59,48.37,42.7,53.11,63.27,43.03,40.67,44.67,64.28,71.79,55.43,58.72,40.55,63.15,58.28,39.35,23.18,31.69,39.96,67.43,73.29,43.41,43.88,53.92,50.18,63.96,42.15,64.24,46.41,62.81,45.93,40.8
P100003,Player_0004,32,Universidad A,Uruguay,DEF,Derecho,19,1596,1.0,2.0,25,1319,85.11187435421722,19,9,10,12,0,0,662.0,13.337503964160714,188.10623046780034,60.0,76.81555574051748,79.68339454305004,72,74,No,61.0,57.39,51.33,28.32,37.34,44.85,56.87,51.04,64.75,57.1,50.82,84.14,56.09,43.52,77.9,68.01,77.24,48.34,64.64,28.21,61.76,47.63,29.67,65.49,22.85,21.31,55.44,58.57,64.56,61.13,72.15,60.5,48.02,48.9,45.77,54.43,33.54,55.11,48.7,54.13,54.18,13.22,36.48,48.37,49.17,53.89,54.54,72.74,54.69,45.3,26.01,29.47,58.03,65.91,73.12,37.58,45.44,53.64,80.71,51.72,73.27,52.55,67.3,65.4,52.49,34.69,45.96,72.34,63.17,43.5,44.87
P100004,Player_0005,18,Porto Azul,Uruguay,FWD,Derecho,19,1748,9.0,5.0,32,1433,69.1899847612231,18,10,11,4,0,0,656.0,11.974196770967998,178.4023180211701,60.0,69.18440390016114,72.42134081741929,72,79,No,68.07,48.32,46.69,59.21,61.36,42.04,41.36,45.87,15.47,27.27,70.5,74.67,46.26,58.65,54.67,96.18,66.79,48.08,35.67,25.9,53.05,38.65,28.67,40.3,33.78,75.31,63.22,49.88,72.2,51.16,37.08,72.85,58.08,34.44,47.14,36.87,29.26,63.89,78.64,29.02,58.44,40.24,42.69,41.11,37.04,50.73,37.54,54.06,49.25,46.42,36.39,41.35,61.33,57.51,35.34,51.49,61.27,24.96,58.15,40.06,58.56,38.55,22.93,25.59,50.72,53.9,36.44,59.58,25.08,49.01,31.83
P100005,Player_0006,22,Laguna FC,Portugal,MID,Derecho,18,1476,3.0,1.0,20,1014,88.30725072142792,23,7,22,10,1,0,641.0,17.997962137307365,181.86773206643207,77.36440360783322,75.6633949357574,94.0845052586618,83,83,No,26.31,46.41,62.35,63.39,51.43,36.73,54.3,52.48,58.53,36.88,43.99,57.64,68.71,64.49,51.23,42.69,56.06,33.63,37.74,72.65,56.03,44.79,62.44,69.3,43.33,43.59,41.71,64.46,64.6,70.79,65.13,25.52,54.21,34.12,42.31,52.56,62.53,36.64,15.13,52.71,89.65,46.96,50.7,76.73,58.85,53.25,56.63,53.75,32.9,29.88,78.3,52.76,51.5,48.65,61.72,88.08,57.86,41.18,48.0,66.06,41.26,62.78,15.19,46.55,59.42,69.05,37.72,27.46,46.09,33.12,47.76
P100006,Player_0007,24,Atlético Norte,Colombia,MID,Izquierdo,19,1672,2.0,1.0,35,604,71.60711543339788,21,12,21,4,1,0,342.0,10.593658884401295,163.45136341556739,65.07487937849943,60.57977307780051,74.0370179813885,70,76,No,46.18,37.57,63.82,50.95,64.27,68.33,17.39,38.44,40.64,88.57,52.24,62.19,21.79,52.15,64.67,62.93,59.35,50.2,50.92,24.6,36.49,53.46,39.26,60.33,57.0,70.51,64.37,53.41,61.22,65.08,42.39,45.06,48.55,42.87,65.24,40.59,68.77,44.5,57.09,52.5,35.36,49.7,55.0,49.04,29.86,75.52,51.32,38.09,74.31,59.26,32.0,34.33,46.66,54.46,59.34,64.25,58.09,70.2,51.9,38.61,49.95,48.97,11.33,41.58,54.71,43.64,40.31,63.67,36.25,60.67,30.01
P100007,Player_0008,36,Atlético Norte,Uruguay,MID,Derecho,25,1525,2.0,1.0,22,935,88.73049535760107,17,10,22,4,1,0,166.0,3.87937943502462,175.53478911480286,76.94016340490016,71.43876334982447,68.65147727623886,83,92,No,49.29,38.05,48.86,45.38,40.12,59.96,65.15,36.97,50.67,69.27,60.34,62.57,70.52,70.32,65.43,52.17,44.26,51.55,41.98,20.71,45.81,55.36,41.19,47.11,47.69,70.35,44.61,70.35,9.31,70.22,69.46,63.53,19.82,65.28,49.25,12.06,69.47,71.66,21.43,52.63,70.83,68.45,62.54,10.29,60.94,46.73,64.94,53.84,49.7,59.61,47.42,49.64,41.67,25.92,58.52,37.91,46.99,54.3,18.72,22.08,45.5,56.82,61.16,26.13,59.55,46.32,36.75,40.27,62.03,54.11,50.75
P100008,Player_0009,25,Universidad A,Colombia,GK,Izquierdo,23,1541,1.0,2.0,17,1278,82.44301453445526,18,6,18,7,2,0,216.0,3.2790089198834282,180.00105773507434,77.6756543198962,75.26835418138265,92.1020453876635,66,71,No,38.03,63.26,35.74,37.39,49.88,60.42,34.09,-2.21,36.95,68.08,55.15,69.86,33.02,25.41,56.94,53.6,54.58,63.99,56.33,56.08,60.73,57.54,62.86,65.13,72.98,40.26,57.21,44.45,37.5,39.66,57.42,56.27,56.01,46.61,50.05,62.27,27.66,50.37,51.35,61.3,29.75,72.43,53.2,54.0,43.98,58.07,50.72,68.13,28.38,52.63,56.13,47.2,43.93,44.56,52.62,22.85,64.48,42.8,51.92,55.51,42.11,48.03,19.47,60.98,66.2,24.49,43.9,31.55,47.33,59.73,64.81
P100009,Player_0010,29,Real Verde,Portugal,MID,Derecho,15,1200,6.0,6.0,33,1393,76.7307560330513,20,13,11,3,1,0,123.0,2.021261307864695,168.71481643882575,84.23667425487496,58.37258802180475,91.65327508453711,83,84,No,44.22,87.08,42.56,65.35,33.6,55.58,57.18,49.64,41.43,46.05,43.95,86.03,49.66,57.87,76.72,36.86,50.56,45.96,48.71,47.31,39.02,52.93,34.06,64.83,59.35,42.6,43.33,54.13,38.02,77.18,55.37,55.9,60.22,41.31,66.34,51.72,64.25,47.03,69.76,56.02,82.74,44.46,53.07,34.53,42.06,59.28,66.94,94.48,48.55,36.0,61.3,33.08,58.46,42.47,53.17,66.37,48.34,63.99,63.1,22.04,36.48,26.57,80.03,48.42,76.71,25.51,41.41,62.01,52.69,57.99,31.19
